Articles,Jaccard Distance
Trump inauguration: key moments - CNNPolitics.com,0.16666666666666666
What's on the agenda for Tuesday in Washington - CNNPolitics.com,0.2631578947368421
CIA publishes its history and nearly 13 million declassified pages of documents online - CNNPolitics.com,0.2692307692307692
Marco Rubio to vote to confirm Rex Tillerson as secretary of state - CNNPolitics.com,0.2962962962962963
Why moving the US embassy to Jerusalem is controversial - CNN.com,0.3
Trump on Supreme Court pick: 'I think in my mind I know who it is' - CNNPolitics.com,0.3076923076923077
Melania Trump returns to New York - CNNPolitics.com,0.3181818181818182
"On the eve of Trump's inauguration, one Mississippi Delta town looks back -- and forward - CNNPolitics.com",0.32
44 ways to judge the Obama era - CNNPolitics.com,0.3225806451612903
President Donald Trump's thin skin - CNNPolitics.com,0.3333333333333333
Trump's EPA pick took hands-off approach to environmental crisis that shook Oklahoma - CNNPolitics.com,0.34285714285714286
John Kerry: Two-state solution in 'serious jeopardy' - CNNPolitics.com,0.35714285714285715
There's something amiss with this inauguration photo - CNNPolitics.com,0.36363636363636365
Trans-Pacific Partnership trade deal withdrawal Trump's first executive action Monday - CNNPolitics.com,0.3684210526315789
Dippin' Dots CEO seeks to win over WH press secretary - CNNPolitics.com,0.38095238095238093
Eric Holder tapped to fight Trump in court - CNNPolitics.com,0.3870967741935484
Israel settlements: New West Bank construction approved - CNN.com,0.3888888888888889
Lavrov says Russia keen for dialogue with Trump - CNNPolitics.com,0.4
Who can sue Trump over emoluments? - CNNPolitics.com,0.4074074074074074
Conway: Trump White House offered 'alternative facts' on crowd size - CNNPolitics.com,0.4117647058823529
David Axelrod: Barack Obama's legacy can't be erased - CNN.com,0.41379310344827586
"Abe, Obama affirm alliance in ceremony at Pearl Harbor - CNNPolitics.com",0.4166666666666667
"Eastern Mosul liberated from ISIS, Iraqi PM says - CNN.com",0.42857142857142855
"Trump advances Keystone pipeline, DAPL with executive actions - CNNPolitics.com",0.43478260869565216
Why is cinema a red line issue in Saudi Arabia? - CNN.com,0.44
What happened to Obama's White House website? - CNNPolitics.com,0.4444444444444444
Sen. Chris Coons: Michael Flynn call with Russia 'very suspicious' - CNNPolitics.com,0.45
Obama's post-inauguration remarks: Full text  - CNNPolitics.com,0.45454545454545453
Senate GOP hopes Trump's OMB pick influences him on entitlements - CNNPolitics.com,0.45714285714285713
Secret Service looking at agent who suggested she wouldn't defend Trump from bullet - CNNPolitics.com,0.4583333333333333
Trump admin tells National Park Service to halt tweets - CNNPolitics.com,0.46153846153846156
How Trump's views differ -- and align -- with nominees - CNNPolitics.com,0.4642857142857143
Russia extends Edward Snowden's asylum to 2020 - CNN.com,0.4666666666666667
"Brian Schaffner, academic behind voter fraud research said Trump misinterpreted his data - CNNPolitics.com",0.47058823529411764
Obama Pentagon chief: I did not recommend Manning commutation - CNNPolitics.com,0.47368421052631576
James Mattis goes where Trump won't: US-NATO bond 'unshakeable' - CNNPolitics.com,0.47619047619047616
Trump approves hiring freeze for federal government - CNNPolitics.com,0.4782608695652174
White House website warns of 'dangerous anti-police atmosphere' in America - CNNPolitics.com,0.48
Explosive revelations  - CNN.com,0.4857142857142857
Sen. Markey on Mulvaney and Price: I am a no on both - CNNPolitics.com,0.5
Trump gets to work for his blue-collar base  - CNNPolitics.com,0.5172413793103449
Trump reverses abortion policy for aid to NGOs - CNNPolitics.com,0.5238095238095238
WH says it would veto UN resolution recognizing Palestinian state - CNNPolitics.com,0.5263157894736842
China boycotts Japan hotel chain APA over Nanjing Massacre denials - CNN.com,0.5294117647058824
Betsy DeVos won't get a second hearing - CNNPolitics.com,0.5333333333333333
Ancient otter as big as a wolf discovered in China  - CNN.com,0.5384615384615384
House approves bill barring taxpayer money for abortions - CNNPolitics.com,0.5454545454545454
"Senate probe into election hacking to review possible links between Russia, campaigns - CNNPolitics.com",0.5555555555555556
"President Trump, home alone, puts out the White House welcome mat - CNNPolitics.com",0.56
Russia prepares to decriminalize some domestic violence - CNN.com,0.5625
"Before presidential run, Trump called Russia the 'biggest problem' and geopolitical foe of U.S. - CNNPolitics.com",0.5652173913043478
Mike Pence: No contact between Trump campaign and Russia - CNNPolitics.com,0.5714285714285714
Trump suggests he would be open to lifting sanctions on Russia - CNNPolitics.com,0.5882352941176471
What we learned at Sean Spicer's first briefing - CNNPolitics.com,0.5925925925925926
Moving US Embassy to Jerusalem puts America's interests last - CNN.com,0.6
Trump's TPP withdrawal: 5 things to know - CNNPolitics.com,0.6086956521739131
Syria peace talks get off to a rocky start in Astana   - CNN.com,0.6111111111111112
Leon Panetta to Trump: CIA is 'not the appropriate place to start whining about' inauguration crowd size - CNNPolitics.com,0.6153846153846154
"In Trump's America, will Putin come first? (opinion) - CNN.com",0.6190476190476191
US orders first drone strikes under Trump - CNNPolitics.com,0.6363636363636364
Trump CIA chief hails predecessor who bashed the President - CNNPolitics.com,0.6428571428571429
NAFTA: GOP leaders fire warning shot to Trump  - CNNPolitics.com,0.6470588235294118
Mike Pence won't say if Russia should be punished for hacking - CNNPolitics.com,0.65
"Medicaid takes center stage as Democrats grill Tom Price  
 - CNNPolitics.com",0.6666666666666666
White House news conference: CNN's Reality Check Team vets the claims - CNNPolitics.com,0.68
"Trump believes millions voted illegally, WH says -- but provides no proof - CNNPolitics.com",0.6842105263157895
Lindsey Graham blasts Donald Trump after latest voter fraud claim - CNNPolitics.com,0.7058823529411765
Cheering crowds swarm Rep. John Lewis at DC airport - CNNPolitics.com,0.9230769230769231
March spurs efforts to get more women to run for office - CNNPolitics.com,1.0
Articles,Jaccard Distance
Trump inauguration: key moments - CNNPolitics.com,0.16666666666666666
What's on the agenda for Tuesday in Washington - CNNPolitics.com,0.2631578947368421
CIA publishes its history and nearly 13 million declassified pages of documents online - CNNPolitics.com,0.2692307692307692
Marco Rubio to vote to confirm Rex Tillerson as secretary of state - CNNPolitics.com,0.2962962962962963
Why moving the US embassy to Jerusalem is controversial - CNN.com,0.3
Trump on Supreme Court pick: 'I think in my mind I know who it is' - CNNPolitics.com,0.3076923076923077
Melania Trump returns to New York - CNNPolitics.com,0.3181818181818182
"On the eve of Trump's inauguration, one Mississippi Delta town looks back -- and forward - CNNPolitics.com",0.32
44 ways to judge the Obama era - CNNPolitics.com,0.3225806451612903
President Donald Trump's thin skin - CNNPolitics.com,0.3333333333333333
Trump's EPA pick took hands-off approach to environmental crisis that shook Oklahoma - CNNPolitics.com,0.34285714285714286
John Kerry: Two-state solution in 'serious jeopardy' - CNNPolitics.com,0.35714285714285715
There's something amiss with this inauguration photo - CNNPolitics.com,0.36363636363636365
Trans-Pacific Partnership trade deal withdrawal Trump's first executive action Monday - CNNPolitics.com,0.3684210526315789
Dippin' Dots CEO seeks to win over WH press secretary - CNNPolitics.com,0.38095238095238093
Eric Holder tapped to fight Trump in court - CNNPolitics.com,0.3870967741935484
Israel settlements: New West Bank construction approved - CNN.com,0.3888888888888889
Lavrov says Russia keen for dialogue with Trump - CNNPolitics.com,0.4
Who can sue Trump over emoluments? - CNNPolitics.com,0.4074074074074074
Conway: Trump White House offered 'alternative facts' on crowd size - CNNPolitics.com,0.4117647058823529
David Axelrod: Barack Obama's legacy can't be erased - CNN.com,0.41379310344827586
"Abe, Obama affirm alliance in ceremony at Pearl Harbor - CNNPolitics.com",0.4166666666666667
"Eastern Mosul liberated from ISIS, Iraqi PM says - CNN.com",0.42857142857142855
"Trump advances Keystone pipeline, DAPL with executive actions - CNNPolitics.com",0.43478260869565216
Why is cinema a red line issue in Saudi Arabia? - CNN.com,0.44
What happened to Obama's White House website? - CNNPolitics.com,0.4444444444444444
Sen. Chris Coons: Michael Flynn call with Russia 'very suspicious' - CNNPolitics.com,0.45
Obama's post-inauguration remarks: Full text  - CNNPolitics.com,0.45454545454545453
Senate GOP hopes Trump's OMB pick influences him on entitlements - CNNPolitics.com,0.45714285714285713
Secret Service looking at agent who suggested she wouldn't defend Trump from bullet - CNNPolitics.com,0.4583333333333333
Trump admin tells National Park Service to halt tweets - CNNPolitics.com,0.46153846153846156
How Trump's views differ -- and align -- with nominees - CNNPolitics.com,0.4642857142857143
Russia extends Edward Snowden's asylum to 2020 - CNN.com,0.4666666666666667
"Brian Schaffner, academic behind voter fraud research said Trump misinterpreted his data - CNNPolitics.com",0.47058823529411764
Obama Pentagon chief: I did not recommend Manning commutation - CNNPolitics.com,0.47368421052631576
James Mattis goes where Trump won't: US-NATO bond 'unshakeable' - CNNPolitics.com,0.47619047619047616
Trump approves hiring freeze for federal government - CNNPolitics.com,0.4782608695652174
White House website warns of 'dangerous anti-police atmosphere' in America - CNNPolitics.com,0.48
Explosive revelations  - CNN.com,0.4857142857142857
Sen. Markey on Mulvaney and Price: I am a no on both - CNNPolitics.com,0.5
Trump gets to work for his blue-collar base  - CNNPolitics.com,0.5172413793103449
Trump reverses abortion policy for aid to NGOs - CNNPolitics.com,0.5238095238095238
WH says it would veto UN resolution recognizing Palestinian state - CNNPolitics.com,0.5263157894736842
China boycotts Japan hotel chain APA over Nanjing Massacre denials - CNN.com,0.5294117647058824
Betsy DeVos won't get a second hearing - CNNPolitics.com,0.5333333333333333
Ancient otter as big as a wolf discovered in China  - CNN.com,0.5384615384615384
House approves bill barring taxpayer money for abortions - CNNPolitics.com,0.5454545454545454
"Senate probe into election hacking to review possible links between Russia, campaigns - CNNPolitics.com",0.5555555555555556
"President Trump, home alone, puts out the White House welcome mat - CNNPolitics.com",0.56
Russia prepares to decriminalize some domestic violence - CNN.com,0.5625
"Before presidential run, Trump called Russia the 'biggest problem' and geopolitical foe of U.S. - CNNPolitics.com",0.5652173913043478
Mike Pence: No contact between Trump campaign and Russia - CNNPolitics.com,0.5714285714285714
Trump suggests he would be open to lifting sanctions on Russia - CNNPolitics.com,0.5882352941176471
What we learned at Sean Spicer's first briefing - CNNPolitics.com,0.5925925925925926
Moving US Embassy to Jerusalem puts America's interests last - CNN.com,0.6
Trump's TPP withdrawal: 5 things to know - CNNPolitics.com,0.6086956521739131
Syria peace talks get off to a rocky start in Astana   - CNN.com,0.6111111111111112
Leon Panetta to Trump: CIA is 'not the appropriate place to start whining about' inauguration crowd size - CNNPolitics.com,0.6153846153846154
"In Trump's America, will Putin come first? (opinion) - CNN.com",0.6190476190476191
US orders first drone strikes under Trump - CNNPolitics.com,0.6363636363636364
Trump CIA chief hails predecessor who bashed the President - CNNPolitics.com,0.6428571428571429
NAFTA: GOP leaders fire warning shot to Trump  - CNNPolitics.com,0.6470588235294118
Mike Pence won't say if Russia should be punished for hacking - CNNPolitics.com,0.65
"Medicaid takes center stage as Democrats grill Tom Price  
 - CNNPolitics.com",0.6666666666666666
White House news conference: CNN's Reality Check Team vets the claims - CNNPolitics.com,0.68
"Trump believes millions voted illegally, WH says -- but provides no proof - CNNPolitics.com",0.6842105263157895
Lindsey Graham blasts Donald Trump after latest voter fraud claim - CNNPolitics.com,0.7058823529411765
Cheering crowds swarm Rep. John Lewis at DC airport - CNNPolitics.com,0.9230769230769231
March spurs efforts to get more women to run for office - CNNPolitics.com,1.0
